Location_id,address_1,address_2,city,state,zip,county,location_source_value,latitude,longitude,address_type,state_abbr,flag,user_id,start_date,end_duration,end_date
16208,600 North Fourth Street,,Burlington,Kansas,66839,,"600 North Fourth Street, Burlington, Kansas 66839",38.199461,-95.7386369999999,Street Address,KS,SUCCESSFUL ADDRESS,4,2023-08-18,909 days 00:00:00,2026-02-12
13331,214 Railroad Avenue,,Clayton,DE,19938,,"214 Railroad Avenue, Clayton, DE 19938",39.2919150170038,-75.63442027987385,Street Address,DE,SUCCESSFUL ADDRESS,4,2023-11-17,992 days 00:00:00,2026-08-05
5917,10500 East Smith Road,,Denver,CO,80239,,"10500 EAST SMITH ROAD, DENVER, CO 80239",39.76735400589988,-104.8637576766715,Street Address,CO,SUCCESSFUL ADDRESS,5,2000-04-29,866 days 00:00:00,2002-09-12
7488,10930 E 10Th St,,Indianapolis,IN,46229,,"10930 E 10TH ST, INDIANAPOLIS, IN 46229",39.78311432913765,-85.97277539090476,Street Address,IN,SUCCESSFUL ADDRESS,5,2018-07-17,887 days 00:00:00,2020-12-20
15884,1420 Industrial Park Rd,,Wiggins,MS,39577,,"1420 INDUSTRIAL PARK RD, WIGGINS, MS 39577",30.83619281527341,-89.13456298831463,Street Address,MS,SUCCESSFUL ADDRESS,6,2002-11-02,498 days 00:00:00,2004-03-14
9834,301 Calle Del Carbon,,Bernalillo,NM,87004,,"301 CALLE DEL CARBON, BERNALILLO, NM 87004",35.313423460006625,-106.54246471020193,Street Address,NM,SUCCESSFUL ADDRESS,6,2010-01-03,950 days 00:00:00,2012-08-10
3273,16451 Flint St,,Overland Park,KS,66062,,"16451 FLINT ST, OVERLAND PARK, KS 66062",38.82954494199026,-94.71826242702429,Street Address,KS,SUCCESSFUL ADDRESS,8,2016-05-19,395 days 00:00:00,2017-06-18
3076,4340 Broad River Rd,,Columbia,SC,29210,,"4340 BROAD RIVER RD, COLUMBIA, SC 29210",34.06509976568351,-81.11541953022784,Street Address,SC,SUCCESSFUL ADDRESS,9,2000-06-14,372 days 00:00:00,2001-06-21
15864,156 Canada Toto Road,,Barrigada,GU,96913,,"156 CANADA TOTO ROAD, BARRIGADA, GU 96913",13.471086177394136,144.79356757598413,Street Address,GU,SUCCESSFUL ADDRESS,9,2015-09-03,824 days 00:00:00,2017-12-05
10807,601 Main Street,,Osawatomie,Kansas,66064,,"601 Main Street, Osawatomie, Kansas 66064",38.4988030000001,-94.9510469999999,Street Address,KS,SUCCESSFUL ADDRESS,10,2004-01-03,775 days 00:00:00,2006-02-16
18094,417 Commercial Street,,Greenleaf,Kansas,66943,,"417 Commercial Street, Greenleaf, Kansas 66943",39.726211,-96.9767959999999,Street Address,KS,SUCCESSFUL ADDRESS,10,2004-10-27,953 days 00:00:00,2007-06-07
9275,720 E Main St,,Mount Kisco,NY,10549,,"720 E MAIN ST, MOUNT KISCO, NY 10549",41.18879599997261,-73.73295799962425,Street Address,NY,SUCCESSFUL ADDRESS,10,2007-08-20,605 days 00:00:00,2009-04-16
9347,22 Litchfield Rd,,Kittery,ME,3904,,"22 LITCHFIELD RD, KITTERY, ME 3904",43.117834000218345,-70.7331680004036,Street Address,ME,SUCCESSFUL ADDRESS,10,2010-05-01,506 days 00:00:00,2011-09-19
5021,192 Dero Drive,,Ordot,GU,96910,,"192 DERO DRIVE, ORDOT, GU 96910",13.446023355409276,144.75846155391963,Street Address,GU,SUCCESSFUL ADDRESS,10,2010-05-03,755 days 00:00:00,2012-05-27
18931,513 Polk Street,,Sparta,TN,38583,,"513 Polk Street, Sparta, TN 38583",35.9356092879358,-85.47774312380308,Street Address,TN,SUCCESSFUL ADDRESS,11,2005-02-24,913 days 00:00:00,2007-08-26
1850,315 Churchill Rd,,Fort Worth,TX,76114,,"315 CHURCHILL RD, FORT WORTH, TX 76114",32.76406128282768,-97.39151095142358,Street Address,TX,SUCCESSFUL ADDRESS,11,2019-05-02,564 days 00:00:00,2020-11-16
784,75 W Cedar Ave,,Coldspring,TX,77331,,"75 W CEDAR AVE, COLDSPRING, TX 77331",30.590947667428715,-95.12961407243596,Street Address,TX,SUCCESSFUL ADDRESS,12,2002-10-31,797 days 00:00:00,2005-01-05
19923,1701 Lincoln Way,,Coeur D Alene,ID,83814,,"1701 LINCOLN WAY, COEUR D ALENE, ID 83814",47.69108882808058,-116.79213799984066,Street Address,ID,SUCCESSFUL ADDRESS,12,2010-02-21,683 days 00:00:00,2012-01-05
19096,500 C Street Southwest,,Washington,DC,20024,,"500 C STREET SOUTHWEST, WASHINGTON, DC 20024",38.885555707811264,-77.01858213690339,Street Address,DC,SUCCESSFUL ADDRESS,12,2010-10-19,580 days 00:00:00,2012-05-21
2542,590 Hwy 431,,Fairfield,MT,59436,,"590 HWY 431, FAIRFIELD, MT 59436",47.63880066590104,-111.86118985241016,Street Address,MT,SUCCESSFUL ADDRESS,12,2010-12-19,856 days 00:00:00,2013-04-23
14435,3400 Parkwood Drive,,Brunswick,GA,31520,,"3400 PARKWOOD DRIVE, BRUNSWICK, GA 31520",31.171989945211823,-81.473789487079,Street Address,GA,SUCCESSFUL ADDRESS,13,2000-04-24,461 days 00:00:00,2001-07-29
10484,885 Barnaby Street Se,,Washington,DC,20032,,"885 BARNABY STREET SE, WASHINGTON, DC 20032",38.83179357026521,-76.99062855592824,Street Address,DC,SUCCESSFUL ADDRESS,13,2000-11-10,549 days 00:00:00,2002-05-13
12016,503 South Main Street,,Shattuck,Oklahoma,73858,,"503 South Main Street, Shattuck, Oklahoma 73858",36.27196,-99.8816059999999,Street Address,OK,SUCCESSFUL ADDRESS,13,2006-01-04,673 days 00:00:00,2007-11-08
8023,18100 Cumberland Rd,,Noblesville,IN,46060,,"18100 CUMBERLAND RD, NOBLESVILLE, IN 46060",40.053162130586,-85.99419656056551,Street Address,IN,SUCCESSFUL ADDRESS,14,2004-11-06,539 days 00:00:00,2006-04-29
461,850 2Nd Avenue West,,New England,ND,58647,,"850 2ND AVENUE WEST, NEW ENGLAND, ND 58647",46.54008806175308,-102.87131578122488,Street Address,ND,SUCCESSFUL ADDRESS,14,2017-06-12,397 days 00:00:00,2018-07-14
9686,450 West Cobb Street,,Grove Hill,AL,36451,,"450 WEST COBB STREET, GROVE HILL, AL 36451",31.70898018211368,-87.79158429541184,Street Address,AL,SUCCESSFUL ADDRESS,14,2023-05-07,986 days 00:00:00,2026-01-17
6168,100 Jimmy Love Lane,,Columbia,SC,29212,,"100 JIMMY LOVE LANE, COLUMBIA, SC 29212",34.05967042448286,-81.16379887937775,Street Address,SC,SUCCESSFUL ADDRESS,15,2006-09-09,438 days 00:00:00,2007-11-21
1159,305 4th St W,, Clear Lake,South Dakota,57226,,"305 4th St W, Clear Lake, South Dakota 57226",44.7924180000001,-96.4574459999999,Street Address,SD,SUCCESSFUL ADDRESS,15,2009-03-11,491 days 00:00:00,2010-07-15
2876,1700 East Venice Avenue,,Venice,FL,34292,,"1700 EAST VENICE AVENUE, VENICE, FL 34292",27.100263550685785,-82.40383440070751,Street Address,FL,SUCCESSFUL ADDRESS,15,2010-09-23,643 days 00:00:00,2012-06-27
3721,3250 Lake City Highway,,Lake City,TN,37769,,"3250 Lake City Highway, Lake City, TN 37769",36.190084917658815,-84.14441358966396,Street Address,TN,SUCCESSFUL ADDRESS,15,2020-03-09,882 days 00:00:00,2022-08-08
4491,1571 Washington Ave,,Portland,ME,4103,,"1571 WASHINGTON AVE, PORTLAND, ME 4103",43.70511900026115,-70.2926750000263,Street Address,ME,SUCCESSFUL ADDRESS,15,2020-09-26,677 days 00:00:00,2022-08-04
2368,8201 State Rd,,Philadelphia,PA,19136,,"8201 STATE RD, PHILADELPHIA, PA 19136",40.03306383673607,-75.01532460156595,Street Address,PA,SUCCESSFUL ADDRESS,16,2004-05-13,622 days 00:00:00,2006-01-25
427,46 Dexter St,,Providence,RI,2909,,"46 DEXTER ST, PROVIDENCE, RI 2909",41.81524400012503,-71.43071900020293,Street Address,RI,SUCCESSFUL ADDRESS,16,2009-04-08,881 days 00:00:00,2011-09-06
13392,41100 Pinebench Road,,Yucaipa,CA,92399,,"41100 PINEBENCH ROAD, YUCAIPA, CA 92399",34.03332925559532,-116.90609379452758,Street Address,CA,SUCCESSFUL ADDRESS,16,2011-08-27,423 days 00:00:00,2012-10-23
18115,2 Vail Rd,,Bethel,CT,6801,,"2 VAIL RD, BETHEL, CT 6801",41.41754600003013,-73.39380799964707,Street Address,CT,SUCCESSFUL ADDRESS,16,2017-03-21,851 days 00:00:00,2019-07-20
8495,340 Carnation Avenue,,Mangilao,GU,96913,,"340 CARNATION AVENUE, MANGILAO, GU 96913",13.48615714605964,144.84314524886668,Street Address,GU,SUCCESSFUL ADDRESS,16,2019-11-16,606 days 00:00:00,2021-07-14
6793,1541 Medical Drive,,Tallahassee,FL,32308,,"1541 MEDICAL DRIVE, TALLAHASSEE, FL 32308",30.45905342365598,-84.25927294096789,Street Address,FL,SUCCESSFUL ADDRESS,17,2008-04-17,785 days 00:00:00,2010-06-11
18472,7801 E 32Nd Ave,,Anchorage,AK,99504,,"7801 E 32ND AVE, ANCHORAGE, AK 99504",61.1922773818946,-149.73551968230154,Street Address,AK,SUCCESSFUL ADDRESS,17,2020-11-27,569 days 00:00:00,2022-06-19
1068,99 Armstrong Ave,,Lisbon,NH,3585,,"99 ARMSTRONG AVE, LISBON, NH 3585",44.21185399995132,-71.91780699991982,Street Address,NH,SUCCESSFUL ADDRESS,18,2007-12-17,429 days 00:00:00,2009-02-18
14686,26 Pickerton Street,,Milan,GA,31060,,"26 PICKERTON STREET, MILAN, GA 31060",32.02039233971194,-83.05994790395981,Street Address,GA,SUCCESSFUL ADDRESS,18,2008-02-26,557 days 00:00:00,2009-09-05
15427,4724 West Vine Street,,Kissimmee,FL,34746,,"4724 WEST VINE STREET, KISSIMMEE, FL 34746",28.322816768070087,-81.47153760469782,Street Address,FL,SUCCESSFUL ADDRESS,18,2021-07-05,956 days 00:00:00,2024-02-16
4818,1959 South Val Vista Drive,,Mesa,AZ,85204,,"1959 SOUTH VAL VISTA DRIVE, MESA, AZ 85204",33.380047609170894,-111.751927451789,Street Address,AZ,SUCCESSFUL ADDRESS,19,2016-05-02,568 days 00:00:00,2017-11-21
2414,400 Faunce Corner Road,,North Dartmouth,MA,02747,,"400 FAUNCE CORNER ROAD, NORTH DARTMOUTH, MA 02747",41.66692812648312,-70.99522286271055,Street Address,MA,SUCCESSFUL ADDRESS,19,2016-12-24,954 days 00:00:00,2019-08-05
19460,12500 Wisteria Dr,,Germantown,MD,20874,,"12500 WISTERIA DR, GERMANTOWN, MD 20874",39.16770328070791,-77.26077027581668,Street Address,MD,SUCCESSFUL ADDRESS,19,2021-09-25,865 days 00:00:00,2024-02-07
585,2500 Alton Parkway,,Irvine,CA,92606,,"2500 ALTON PARKWAY, IRVINE, CA 92606",33.69144285582379,-117.83685623355926,Street Address,CA,SUCCESSFUL ADDRESS,19,2023-02-25,936 days 00:00:00,2025-09-18
1284,298 Osloski Road,,Eureka,MT,59917,,"298 OSLOSKI ROAD, EUREKA, MT 59917",48.89061092215995,-115.05963431943708,Street Address,MT,SUCCESSFUL ADDRESS,20,2000-07-28,817 days 00:00:00,2002-10-23
13305,401 Elmgrove Ave,,Providence,RI,2906,,"401 ELMGROVE AVE, PROVIDENCE, RI 2906",41.84140300021457,-71.39254100037813,Street Address,RI,SUCCESSFUL ADDRESS,20,2000-07-30,442 days 00:00:00,2001-10-15
3452,30 Strafford Rd,,Center Strafford,NH,3884,,"30 STRAFFORD RD, CENTER STRAFFORD, NH 3884",43.26912299998386,-71.11927699976846,Street Address,NH,SUCCESSFUL ADDRESS,20,2003-03-26,531 days 00:00:00,2004-09-07
12599,120 North 19Th Avenue,,Bozeman,MT,59718,,"120 NORTH 19TH AVENUE, BOZEMAN, MT 59718",45.67989457723086,-111.06203110612012,Street Address,MT,SUCCESSFUL ADDRESS,20,2006-04-18,693 days 00:00:00,2008-03-11
18429,104 South Main Street,,Drayton,North Dakota,58225,,"104 South Main Street, Drayton, North Dakota 58225",48.5613990000001,-97.1777229999999,Street Address,ND,SUCCESSFUL ADDRESS,21,2006-08-18,743 days 00:00:00,2008-08-30
623,6085 7Th St Ne,,Fridley,MN,55432,,"6085 7TH ST NE, FRIDLEY, MN 55432",45.07818080929724,-93.25689798005511,Street Address,MN,SUCCESSFUL ADDRESS,22,2005-11-03,911 days 00:00:00,2008-05-02
3696,92 885 Makakilo Drive,,Kapolei,HI,96707,,"92 - 885 Makakilo Drive, Kapolei, HI 96707",21.354525797785023,-158.08658580446323,Street Address,HI,SUCCESSFUL ADDRESS,23,2004-10-29,523 days 00:00:00,2006-04-05
6825,2600 Glasgow Avenue,,Newark,DE,19702,,"2600 GLASGOW AVENUE, NEWARK, DE 19702",39.59927929042592,-75.74447065930605,Street Address,DE,SUCCESSFUL ADDRESS,24,2004-11-07,692 days 00:00:00,2006-09-30
14625,453 Leroy St,,Buffalo,NY,14215,,"453 LEROY ST, BUFFALO, NY 14215",42.93255441776313,-78.82877288395068,Street Address,NY,SUCCESSFUL ADDRESS,24,2010-01-17,858 days 00:00:00,2012-05-24
12858,785 United States Highway 321,,Lenoir City,TN,37771,,"785 UNITED STATES HIGHWAY 321, LENOIR CITY, TN 37771",35.81527463046385,-84.26387846149575,Street Address,TN,SUCCESSFUL ADDRESS,24,2011-10-29,879 days 00:00:00,2014-03-26
16428,265 Griffin Street West,,Amery,WI,54001,,"265 GRIFFIN STREET WEST, AMERY, WI 54001",45.29543159794347,-92.36863233946188,Street Address,WI,SUCCESSFUL ADDRESS,26,2000-05-02,872 days 00:00:00,2002-09-21
4941,2119 Hartford Ave,,Johnston,RI,2919,,"2119 HARTFORD AVE, JOHNSTON, RI 2919",41.83034700017512,-71.53058600031923,Street Address,RI,SUCCESSFUL ADDRESS,26,2011-10-24,490 days 00:00:00,2013-02-25
13679,2610 14Th Street,,Columbus,NE,68601,,"2610 14TH STREET, COLUMBUS, NE 68601",41.43064107036443,-97.3600672209428,Street Address,NE,SUCCESSFUL ADDRESS,26,2015-04-18,571 days 00:00:00,2016-11-09
47,45 Sprague Avenue,,Cranston,RI,02910,,"45 SPRAGUE AVENUE, CRANSTON, RI 02910",41.78607476594456,-71.43731478675176,Street Address,RI,SUCCESSFUL ADDRESS,27,2016-08-12,964 days 00:00:00,2019-04-03
13832,1182 Chenango Street,,Binghamton,NY,13901,,"1182 CHENANGO STREET, BINGHAMTON, NY 13901",42.1516700121205,-75.88328008284678,Street Address,NY,SUCCESSFUL ADDRESS,28,2000-01-10,700 days 00:00:00,2001-12-10
18498,5501 North La Palma Road,,Eloy,AZ,85131,,"5501 NORTH LA PALMA ROAD, ELOY, AZ 85131",32.813512945113466,-111.52690900916534,Street Address,AZ,SUCCESSFUL ADDRESS,28,2017-02-18,736 days 00:00:00,2019-02-24
46,1570 Shepardsville Highway,,Granville,TN,38564,,"1570 Shepardsville Highway, Granville, TN 38564",36.25432304674038,-85.71053049837096,Street Address,TN,SUCCESSFUL ADDRESS,29,2001-11-15,703 days 00:00:00,2003-10-19
18907,10255 Lambert Road,,Peyton,CO,80831,,"10255 LAMBERT ROAD, PEYTON, CO 80831",38.98008583282629,-104.57600281534366,Street Address,CO,SUCCESSFUL ADDRESS,29,2017-09-30,897 days 00:00:00,2020-03-15
1088,4750 West 52Nd Street,,Indianapolis,IN,46254,,"4750 West 52nd Street, Indianapolis, IN 46254",39.84663529951261,-86.24113050003363,Street Address,IN,SUCCESSFUL ADDRESS,29,2021-09-28,715 days 00:00:00,2023-09-13
3807,6 Front Street,,Frederica,DE,19946,,"6 Front Street, Frederica, DE 19946",39.00893176469383,-75.46517130949373,Street Address,DE,SUCCESSFUL ADDRESS,30,2000-08-29,419 days 00:00:00,2001-10-22
6683,20 South Main Street,,Chambersburg,Pennsylvania,17201,,"20 South Main Street, Chambersburg, Pennsylvania 17201",39.932507,-77.9988329999999,Street Address,PA,SUCCESSFUL ADDRESS,30,2004-07-24,669 days 00:00:00,2006-05-24
13076,1090 Ossipee Lake Rd,,West Ossipee,NH,3890,,"1090 OSSIPEE LAKE RD, WEST OSSIPEE, NH 3890",43.830367000139255,-71.19429299957669,Street Address,NH,SUCCESSFUL ADDRESS,30,2023-10-04,389 days 00:00:00,2024-10-27
7397,945 W Main St,,Mount Vernon,KY,40456,,"945 W MAIN ST, MOUNT VERNON, KY 40456",37.35697602990143,-84.35734780658396,Street Address,KY,SUCCESSFUL ADDRESS,31,2005-11-07,510 days 00:00:00,2007-04-01
11090,105 North 31St Avenue,,Omaha,NE,68131,,"105 NORTH 31ST AVENUE, OMAHA, NE 68131",41.26004779442052,-95.9587540239221,Street Address,NE,SUCCESSFUL ADDRESS,31,2010-05-11,851 days 00:00:00,2012-09-08
647,1506 Market Street,Suite C180,Little Rock,Arkansas,72211,,"1506 Market Street, Suite C180, Little Rock, Arkansas 72211",34.7670170000001,-92.3984359999999,Street Address,AR,SUCCESSFUL ADDRESS,31,2011-11-02,390 days 00:00:00,2012-11-26
3147,2000 West Main Street,,Saint Charles,IL,60174,,"2000 WEST MAIN STREET, SAINT CHARLES, IL 60174",41.91308237396564,-88.3383579759799,Street Address,IL,SUCCESSFUL ADDRESS,31,2016-03-08,530 days 00:00:00,2017-08-20
2734,2480 Windy Hill Road Southeast,,Marietta,GA,30067,,"2480 WINDY HILL ROAD SOUTHEAST, MARIETTA, GA 30067",33.901928035223875,-84.48073673696909,Street Address,GA,SUCCESSFUL ADDRESS,31,2019-08-07,460 days 00:00:00,2020-11-09
7413,127 North Main Street,,Marion,Ohio,43302,,"127 North Main Street, Marion, Ohio 43302",40.5893100000001,-83.1289579999999,Street Address,OH,SUCCESSFUL ADDRESS,31,2021-02-23,413 days 00:00:00,2022-04-12
561,159 Winchester Street,,Sardinia,OH,45171,,"159 Winchester Street, Sardinia, OH 45171",39.00736982805924,-83.80326709295096,Street Address,OH,SUCCESSFUL ADDRESS,32,2013-06-05,491 days 00:00:00,2014-10-09
13435,19901 Lawson Rd,,Little Rock,AR,72210,,"19901 LAWSON RD, LITTLE ROCK, AR 72210",34.7162701143602,-92.49378889201812,Street Address,AR,SUCCESSFUL ADDRESS,32,2022-02-06,665 days 00:00:00,2023-12-03
4648,4056 Siloam Road,,Dobson,NC,27017,,"4056 Siloam Road, Dobson, NC 27017",36.34553197880475,-80.62869922094848,Street Address,NC,SUCCESSFUL ADDRESS,33,2005-09-13,671 days 00:00:00,2007-07-16
10704,401 Main Street,,Edgeley,North Dakota,58433,,"401 Main Street, Edgeley, North Dakota 58433",46.3026980000001,-98.948912,Street Address,ND,SUCCESSFUL ADDRESS,33,2017-10-04,748 days 00:00:00,2019-10-22
11135,95 Main Street,,Atwood,KS,67730,,"95 Main Street, Atwood, KS 67730",39.8072361964266,-101.0464341746673,Street Address,KS,SUCCESSFUL ADDRESS,33,2023-11-15,546 days 00:00:00,2025-05-14
3881,551 Kokopelli Boulevard,,Fruita,CO,81521,,"551 KOKOPELLI BOULEVARD, FRUITA, CO 81521",39.150869263247806,-108.73567193079006,Street Address,CO,SUCCESSFUL ADDRESS,34,2001-03-19,778 days 00:00:00,2003-05-06
17454,1900 Beech Ave Se,,Cullman,AL,35055,,"1900 BEECH AVE SE, CULLMAN, AL 35055",34.15049880258273,-86.82971695192414,Street Address,AL,SUCCESSFUL ADDRESS,34,2019-02-12,484 days 00:00:00,2020-06-10
16167,219 N 1St St,,Medford,OK,73759,,"219 N 1ST ST, MEDFORD, OK 73759",36.80874404749144,-97.73397704003784,Street Address,OK,SUCCESSFUL ADDRESS,34,2023-12-23,547 days 00:00:00,2025-06-22
6625,308 South Main Street,,Aberdeen,South Dakota,57401,,"308 South Main Street, Aberdeen, South Dakota 57401",45.5360870000001,-100.433819,Street Address,SD,SUCCESSFUL ADDRESS,35,2008-07-06,450 days 00:00:00,2009-09-29
5635,99 Grandview Ave,,Bridgeport,CT,6606,,"99 GRANDVIEW AVE, BRIDGEPORT, CT 6606",41.22002400031128,-73.1892349995577,Street Address,CT,SUCCESSFUL ADDRESS,35,2010-03-21,991 days 00:00:00,2012-12-06
3471,401 North 31St Street,,Billings,Montana,59101,,"401 North 31st Street, Billings, Montana 59101",46.8699920000001,-113.994939,Street Address,MT,SUCCESSFUL ADDRESS,36,2006-09-03,698 days 00:00:00,2008-08-01
5999,20 Mcgee St,,Greenville,SC,29601,,"20 MCGEE ST, GREENVILLE, SC 29601",34.85379345225652,-82.38669420454163,Street Address,SC,SUCCESSFUL ADDRESS,36,2013-05-27,447 days 00:00:00,2014-08-17
19625,20 4Th Avenue Southwest,,Conrad,MT,59425,,"20 4TH AVENUE SOUTHWEST, CONRAD, MT 59425",48.16887602159636,-111.94818373470018,Street Address,MT,SUCCESSFUL ADDRESS,36,2016-07-13,447 days 00:00:00,2017-10-03
11358,3420 Wilkesboro Boulevard,,Lenoir,NC,28645,,"3420 Wilkesboro Boulevard, Lenoir, NC 28645",35.98259481250495,-81.41345542291701,Street Address,NC,SUCCESSFUL ADDRESS,37,2011-06-22,970 days 00:00:00,2014-02-16
12282,38322 Us Hwy 180,,St. Johns,AZ,85936,,"38322 US HWY 180, ST. JOHNS, AZ 85936",34.320830537391046,-109.3907224181177,Street Address,AZ,SUCCESSFUL ADDRESS,37,2021-03-19,610 days 00:00:00,2022-11-19
18591,11540 Ne Inverness Dr,,Portland,OR,97220,,"11540 NE INVERNESS DR, PORTLAND, OR 97220",45.56344306713452,-122.54405071979156,Street Address,OR,SUCCESSFUL ADDRESS,38,2021-03-04,508 days 00:00:00,2022-07-25
8682,4880 South Wynn Road,,Las Vegas,NV,89103,,"4880 SOUTH WYNN ROAD, LAS VEGAS, NV 89103",36.10134814782754,-115.19497338982484,Street Address,NV,SUCCESSFUL ADDRESS,39,2015-09-27,464 days 00:00:00,2017-01-03
15186,3515 Washington Road,,Mcmurray,PA,15317,,"3515 WASHINGTON ROAD, MCMURRAY, PA 15317",40.28338441171959,-80.12073188120374,Street Address,PA,SUCCESSFUL ADDRESS,39,2016-09-28,754 days 00:00:00,2018-10-22
1382,29750 Ecorse Road,,Romulus,MI,48174,,"29750 ECORSE ROAD, ROMULUS, MI 48174",42.253641447556014,-83.33281313536634,Street Address,MI,SUCCESSFUL ADDRESS,39,2018-08-24,930 days 00:00:00,2021-03-11
13577,501 South Adams St,,Marion,IN,46952,,"501 SOUTH ADAMS ST, MARION, IN 46952",40.55645210350156,-85.6580321622617,Street Address,IN,SUCCESSFUL ADDRESS,40,2003-09-21,913 days 00:00:00,2006-03-22
12626,62741 County Road 551,,Togo,MN,55723,,"62741 COUNTY ROAD 551, TOGO, MN 55723",47.78463879963643,-93.23946361735308,Street Address,MN,SUCCESSFUL ADDRESS,40,2021-05-24,793 days 00:00:00,2023-07-26
18197,445 South Main St,,Lusk,Wyoming,82225,,"445 South Main St, Lusk, Wyoming 82225",42.7607840000001,-104.452038,Street Address,WY,SUCCESSFUL ADDRESS,41,2010-03-01,780 days 00:00:00,2012-04-19
19369,6179 Annas Hope,,Christiansted,VI,00820,,"6179 ANNAS HOPE, CHRISTIANSTED, VI 00820",17.727765695867483,-64.7242999369858,Street Address,VI,SUCCESSFUL ADDRESS,41,2018-04-26,749 days 00:00:00,2020-05-14
10738,22505 26 Mile Rd,,Ray,MI,48096,,"22505 26 MILE RD, RAY, MI 48096",42.719841305742726,-82.88866570756488,Street Address,MI,SUCCESSFUL ADDRESS,41,2022-04-21,760 days 00:00:00,2024-05-20
3505,124 Stacey Road,,Volborg,MT,59351,,"124 STACEY ROAD, VOLBORG, MT 59351",45.69877313687858,-105.88891006508496,Street Address,MT,SUCCESSFUL ADDRESS,42,2004-02-13,842 days 00:00:00,2006-06-04
4741,565 Pontiac Ave,,Cranston,RI,2910,,"565 PONTIAC AVE, CRANSTON, RI 2910",41.77138699971423,-71.4370619999325,Street Address,RI,SUCCESSFUL ADDRESS,42,2010-07-18,986 days 00:00:00,2013-03-30
7841,34 Upper Riverdale Road,,Riverdale,GA,30274,,"34 UPPER RIVERDALE ROAD, RIVERDALE, GA 30274",33.57786572112634,-84.38762703599815,Street Address,GA,SUCCESSFUL ADDRESS,42,2017-03-01,530 days 00:00:00,2018-08-13
10755,4629 Hicone Rd,,Greensboro,NC,27405,,"4629 HICONE RD, Greensboro, NC 27405",36.153093219615606,-79.71318155397262,Street Address,NC,SUCCESSFUL ADDRESS,42,2023-07-26,527 days 00:00:00,2025-01-03
11799,500 19Th Street Ne,,Washington,DC,20002,,"500 19TH STREET NE, WASHINGTON, DC 20002",38.89667547226335,-76.97744680141659,Street Address,DC,SUCCESSFUL ADDRESS,43,2006-04-19,886 days 00:00:00,2008-09-21
11935,180 Pine Bayou Circle,,Richwood,LA,71202,,"180 PINE BAYOU CIRCLE, RICHWOOD, LA 71202",32.4566796321756,-92.078809923442,Street Address,LA,SUCCESSFUL ADDRESS,43,2007-09-26,437 days 00:00:00,2008-12-06
8704,38911 Van Dyke Avenue,,Sterling Heights,MI,48312,,"38911 Van Dyke Avenue, Sterling Heights, MI 48312",42.57988333862803,-83.03119881014138,Street Address,MI,SUCCESSFUL ADDRESS,43,2019-08-05,419 days 00:00:00,2020-09-27
